IP Packet: 104.18.41.41 -> 192.168.1.4 | Protocol: 6 | TCP Port: 443 -> 11128
IP Packet: 192.168.1.4 -> 104.18.41.41 | Protocol: 6 | TCP Port: 11128 -> 443
IP Packet: 192.168.1.4 -> 104.18.41.41 | Protocol: 6 | TCP Port: 11128 -> 443
IP Packet: 104.18.41.41 -> 192.168.1.4 | Protocol: 6 | TCP Port: 443 -> 11128
IP Packet: 104.18.41.41 -> 192.168.1.4 | Protocol: 6 | TCP Port: 443 -> 11128
IP Packet: 192.168.1.2 -> 239.255.255.250 | Protocol: 17 | UDP Port: 8001 -> 1901
IP Packet: 192.168.1.6 -> 239.255.255.250 | Protocol: 17 | UDP Port: 40459 -> 15600
IP Packet: 192.168.1.6 -> 224.0.0.7 | Protocol: 17 | UDP Port: 8001 -> 8001
IP Packet: 192.168.1.2 -> 239.255.255.250 | Protocol: 17 | UDP Port: 8001 -> 1901
IP Packet: 192.168.1.4 -> 151.101.194.132 | Protocol: 6 | TCP Port: 11147 -> 443
IP Packet: 151.101.194.132 -> 192.168.1.4 | Protocol: 6 | TCP Port: 443 -> 11147
IP Packet: 192.168.1.6 -> 224.0.0.7 | Protocol: 17 | UDP Port: 8001 -> 8001
IP Packet: 192.168.1.2 -> 239.255.255.250 | Protocol: 17 | UDP Port: 8001 -> 1901
IP Packet: 192.168.1.6 -> 192.168.1.255 | Protocol: 17 | UDP Port: 41742 -> 15600
IP Packet: 192.168.1.6 -> 224.0.0.7 | Protocol: 17 | UDP Port: 8001 -> 8001
IP Packet: 104.18.41.41 -> 192.168.1.4 | Protocol: 6 | TCP Port: 443 -> 11128
IP Packet: 192.168.1.4 -> 104.18.41.41 | Protocol: 6 | TCP Port: 11128 -> 443
IP Packet: 192.168.1.4 -> 104.18.41.41 | Protocol: 6 | TCP Port: 11128 -> 443
IP Packet: 104.18.41.41 -> 192.168.1.4 | Protocol: 6 | TCP Port: 443 -> 11128
IP Packet: 104.18.41.41 -> 192.168.1.4 | Protocol: 6 | TCP Port: 443 -> 11128
IP Packet: 192.168.1.4 -> 172.64.146.215 | Protocol: 17 | UDP Port: 62065 -> 443
IP Packet: 192.168.1.4 -> 172.64.146.215 | Protocol: 17 | UDP Port: 62065 -> 443
IP Packet: 192.168.1.4 -> 104.18.41.41 | Protocol: 6 | TCP Port: 11128 -> 443
IP Packet: 192.168.1.4 -> 104.18.41.41 | Protocol: 6 | TCP Port: 11128 -> 443
IP Packet: 104.18.41.41 -> 192.168.1.4 | Protocol: 6 | TCP Port: 443 -> 11128
IP Packet: 104.18.41.41 -> 192.168.1.4 | Protocol: 6 | TCP Port: 443 -> 11128
IP Packet: 172.64.146.215 -> 192.168.1.4 | Protocol: 17 | UDP Port: 443 -> 62065
IP Packet: 172.64.146.215 -> 192.168.1.4 | Protocol: 17 | UDP Port: 443 -> 62065
IP Packet: 172.64.146.215 -> 192.168.1.4 | Protocol: 17 | UDP Port: 443 -> 62065
IP Packet: 104.18.41.41 -> 192.168.1.4 | Protocol: 6 | TCP Port: 443 -> 11128
IP Packet: 192.168.1.4 -> 172.64.146.215 | Protocol: 17 | UDP Port: 62065 -> 443
IP Packet: 192.168.1.4 -> 172.64.146.215 | Protocol: 17 | UDP Port: 62065 -> 443
IP Packet: 172.64.146.215 -> 192.168.1.4 | Protocol: 17 | UDP Port: 443 -> 62065
IP Packet: 172.64.146.215 -> 192.168.1.4 | Protocol: 17 | UDP Port: 443 -> 62065
IP Packet: 172.64.146.215 -> 192.168.1.4 | Protocol: 17 | UDP Port: 443 -> 62065
IP Packet: 192.168.1.4 -> 172.64.146.215 | Protocol: 17 | UDP Port: 62065 -> 443
IP Packet: 192.168.1.4 -> 172.64.146.215 | Protocol: 17 | UDP Port: 62065 -> 443
IP Packet: 172.64.146.215 -> 192.168.1.4 | Protocol: 17 | UDP Port: 443 -> 62065
IP Packet: 192.168.1.4 -> 172.64.146.215 | Protocol: 17 | UDP Port: 62065 -> 443
IP Packet: 172.64.146.215 -> 192.168.1.4 | Protocol: 17 | UDP Port: 443 -> 62065
IP Packet: 172.64.146.215 -> 192.168.1.4 | Protocol: 17 | UDP Port: 443 -> 62065
IP Packet: 192.168.1.4 -> 172.64.146.215 | Protocol: 17 | UDP Port: 62065 -> 443
IP Packet: 192.168.1.2 -> 239.255.255.250 | Protocol: 17 | UDP Port: 8001 -> 1901
IP Packet: 104.18.41.41 -> 192.168.1.4 | Protocol: 6 | TCP Port: 443 -> 11128
IP Packet: 104.18.41.41 -> 192.168.1.4 | Protocol: 6 | TCP Port: 443 -> 11128
IP Packet: 104.18.41.41 -> 192.168.1.4 | Protocol: 6 | TCP Port: 443 -> 11128
